FEATURE_A,FEATURE_B,GROUP_A,GROUP_B,SOURCE_A,SOURCE_B,PAIR_STRUCTURE,STRUCTURAL_PAIR,PEARSON,PEARSON_STRENGTH,SPEARMAN,SPEARMAN_STRENGTH,ABS_PEARSON,ABS_SPEARMAN,PEARSON_MINUS_SPEARMAN,ABS_MAGNITUDE_DIFFERENCE,MAX_ABS_CORRELATION,POTENTIAL_REDUNDANCY
SEND_AGE,RECEIVE_LOC_FEWF,Continuous numerical,Frequency encoding with fallback,SEND_AGE,RECEIVE_LOC_FEWF,Ordinary cross-feature relationship,False,0.047145663081456145,Very weak or negligible,0.051201559531182564,Very weak or negligible,0.047145663081456145,0.051201559531182564,-0.004055896449726419,0.004055896449726419,0.051201559531182564,False
SEND_AGE,TRANS_MONTH_SIN,Continuous numerical,Cyclical sine/cosine,SEND_AGE,TRANS_MONTH_SIN,Ordinary cross-feature relationship,False,-0.0005462428060783227,Very weak or negligible,-0.0007323680281339954,Very weak or negligible,0.0005462428060783227,0.0007323680281339954,0.00018612522205567266,0.00018612522205567266,0.0007323680281339954,False
SEND_AGE,TRANS_MONTH_COS,Continuous numerical,Cyclical sine/cosine,SEND_AGE,TRANS_MONTH_COS,Ordinary cross-feature relationship,False,-0.001580010406600944,Very weak or negligible,-0.0015840977208389096,Very weak or negligible,0.001580010406600944,0.0015840977208389096,4.087314237965567e-06,4.087314237965567e-06,0.0015840977208389096,False
SEND_AGE,TRANS_HOUR_SIN,Continuous numerical,Cyclical sine/cosine,SEND_AGE,TRANS_HOUR_SIN,Ordinary cross-feature relationship,False,0.18270421295608094,Weak,0.1763420623561671,Weak,0.18270421295608094,0.1763420623561671,0.006362150599913852,0.006362150599913852,0.18270421295608094,False
SEND_AGE,TRANS_HOUR_COS,Continuous numerical,Cyclical sine/cosine,SEND_AGE,TRANS_HOUR_COS,Ordinary cross-feature relationship,False,0.0021787051366379735,Very weak or negligible,0.0019838520424867805,Very weak or negligible,0.0021787051366379735,0.0019838520424867805,0.00019485309415119296,0.00019485309415119296,0.0021787051366379735,False
SEND_AGE,TRANS_WEEK_OHEWI_Friday,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,TRANS_WEEK_OHEWI,Ordinary cross-feature relationship,False,0.0035698894789912023,Very weak or negligible,0.004043037048011988,Very weak or negligible,0.0035698894789912023,0.004043037048011988,-0.0004731475690207855,0.0004731475690207855,0.004043037048011988,False
SEND_AGE,TRANS_WEEK_OHEWI_Monday,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,TRANS_WEEK_OHEWI,Ordinary cross-feature relationship,False,-0.0018417794519382169,Very weak or negligible,-0.0027075051900166424,Very weak or negligible,0.0018417794519382169,0.0027075051900166424,0.0008657257380784255,0.0008657257380784255,0.0027075051900166424,False
SEND_AGE,TRANS_WEEK_OHEWI_Saturday,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,TRANS_WEEK_OHEWI,Ordinary cross-feature relationship,False,-0.0007687567032049363,Very weak or negligible,-0.0008413151972801969,Very weak or negligible,0.0007687567032049363,0.0008413151972801969,7.255849407526054e-05,7.255849407526054e-05,0.0008413151972801969,False
SEND_AGE,TRANS_WEEK_OHEWI_Sunday,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,TRANS_WEEK_OHEWI,Ordinary cross-feature relationship,False,-0.010710671532989503,Very weak or negligible,-0.012313185518965238,Very weak or negligible,0.010710671532989503,0.012313185518965238,0.001602513985975735,0.001602513985975735,0.012313185518965238,False
SEND_AGE,TRANS_WEEK_OHEWI_Thursday,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,TRANS_WEEK_OHEWI,Ordinary cross-feature relationship,False,0.00416285458002627,Very weak or negligible,0.005123670597810011,Very weak or negligible,0.00416285458002627,0.005123670597810011,-0.0009608160177837412,0.0009608160177837412,0.005123670597810011,False
SEND_AGE,TRANS_WEEK_OHEWI_Tuesday,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,TRANS_WEEK_OHEWI,Ordinary cross-feature relationship,False,0.006079955254265177,Very weak or negligible,0.0067388982890596895,Very weak or negligible,0.006079955254265177,0.0067388982890596895,-0.0006589430347945123,0.0006589430347945123,0.0067388982890596895,False
SEND_AGE,TRANS_WEEK_OHEWI_Wednesday,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,TRANS_WEEK_OHEWI,Ordinary cross-feature relationship,False,0.001895780066438972,Very weak or negligible,0.002923848728077243,Very weak or negligible,0.001895780066438972,0.002923848728077243,-0.0010280686616382711,0.0010280686616382711,0.002923848728077243,False
SEND_AGE,RECEIVE_CATEGORY_OHEWI_entertainment,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,4.857634555964705e-05,Very weak or negligible,-0.0006365221376381262,Very weak or negligible,4.857634555964705e-05,0.0006365221376381262,0.0006850984831977732,0.0005879457920784792,0.0006365221376381262,False
SEND_AGE,RECEIVE_CATEGORY_OHEWI_food_dining,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,-0.018438448165001092,Very weak or negligible,-0.01985881241934236,Very weak or negligible,0.018438448165001092,0.01985881241934236,0.0014203642543412671,0.0014203642543412671,0.01985881241934236,False
SEND_AGE,RECEIVE_CATEGORY_OHEWI_gas_transport,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,0.03845337423124118,Very weak or negligible,0.03859876767972343,Very weak or negligible,0.03845337423124118,0.03859876767972343,-0.00014539344848225194,0.00014539344848225194,0.03859876767972343,False
SEND_AGE,RECEIVE_CATEGORY_OHEWI_grocery_net,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,-0.0780399118205138,Very weak or negligible,-0.07968932981281888,Very weak or negligible,0.0780399118205138,0.07968932981281888,0.0016494179923050856,0.0016494179923050856,0.07968932981281888,False
SEND_AGE,RECEIVE_CATEGORY_OHEWI_grocery_pos,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,0.01758271069736025,Very weak or negligible,0.019346951785405745,Very weak or negligible,0.01758271069736025,0.019346951785405745,-0.0017642410880454942,0.0017642410880454942,0.019346951785405745,False
SEND_AGE,RECEIVE_CATEGORY_OHEWI_health_fitness,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,-0.0004107706738118087,Very weak or negligible,-0.00011598651203298868,Very weak or negligible,0.0004107706738118087,0.00011598651203298868,-0.00029478416177882,0.00029478416177882,0.0004107706738118087,False
SEND_AGE,RECEIVE_CATEGORY_OHEWI_home,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,0.014469949302469103,Very weak or negligible,0.01585106665995641,Very weak or negligible,0.014469949302469103,0.01585106665995641,-0.0013811173574873065,0.0013811173574873065,0.01585106665995641,False
SEND_AGE,RECEIVE_CATEGORY_OHEWI_kids_pets,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,0.021520172850482154,Very weak or negligible,0.022149455261377907,Very weak or negligible,0.021520172850482154,0.022149455261377907,-0.0006292824108957533,0.0006292824108957533,0.022149455261377907,False
SEND_AGE,RECEIVE_CATEGORY_OHEWI_misc_net,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,0.002181162204939778,Very weak or negligible,0.0021107192499286173,Very weak or negligible,0.002181162204939778,0.0021107192499286173,7.044295501116085e-05,7.044295501116085e-05,0.002181162204939778,False
SEND_AGE,RECEIVE_CATEGORY_OHEWI_misc_pos,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,-0.02833044745312039,Very weak or negligible,-0.029450793653340013,Very weak or negligible,0.02833044745312039,0.029450793653340013,0.0011203462002196234,0.0011203462002196234,0.029450793653340013,False
SEND_AGE,RECEIVE_CATEGORY_OHEWI_personal_care,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,0.016142494253920697,Very weak or negligible,0.016419580234482537,Very weak or negligible,0.016142494253920697,0.016419580234482537,-0.0002770859805618399,0.0002770859805618399,0.016419580234482537,False
SEND_AGE,RECEIVE_CATEGORY_OHEWI_shopping_net,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,-0.017161620284424303,Very weak or negligible,-0.017236814542579006,Very weak or negligible,0.017161620284424303,0.017236814542579006,7.519425815470313e-05,7.519425815470313e-05,0.017236814542579006,False
SEND_AGE,RECEIVE_CATEGORY_OHEWI_shopping_pos,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,-0.017225274127264396,Very weak or negligible,-0.017509928259191426,Very weak or negligible,0.017225274127264396,0.017509928259191426,0.00028465413192703057,0.00028465413192703057,0.017509928259191426,False
SEND_AGE,RECEIVE_CATEGORY_OHEWI_travel,Continuous numerical,One-Hot encoding with ignore,SEND_AGE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,0.021524098729453288,Very weak or negligible,0.0211957873413015,Very weak or negligible,0.021524098729453288,0.0211957873413015,0.0003283113881517863,0.0003283113881517863,0.021524098729453288,False
TRANS_VALUE,TRANS_DAY,Continuous numerical,Discrete numerical,TRANS_VALUE,TRANS_DAY,Ordinary cross-feature relationship,False,6.939453147627153e-05,Very weak or negligible,-0.0003338265493040806,Very weak or negligible,6.939453147627153e-05,0.0003338265493040806,0.00040322108078035213,0.00026443201782780904,0.0003338265493040806,False
TRANS_VALUE,SEND_POP_REGISTER,Continuous numerical,Discrete numerical,TRANS_VALUE,SEND_POP_REGISTER,Ordinary cross-feature relationship,False,0.0049207303184400485,Very weak or negligible,-0.0238029280921449,Very weak or negligible,0.0049207303184400485,0.0238029280921449,0.028723658410584947,0.018882197773704854,0.0238029280921449,False
TRANS_VALUE,SEND_LAT_REGISTER,Continuous numerical,Continuous geographic,TRANS_VALUE,SEND_LAT_REGISTER,Ordinary cross-feature relationship,False,-0.0006702696221280234,Very weak or negligible,0.01296691735927438,Very weak or negligible,0.0006702696221280234,0.01296691735927438,-0.013637186981402405,0.012296647737146357,0.01296691735927438,False
TRANS_VALUE,SEND_LONG_REGISTER,Continuous numerical,Continuous geographic,TRANS_VALUE,SEND_LONG_REGISTER,Ordinary cross-feature relationship,False,-0.0007348846815462361,Very weak or negligible,-0.0003279858098453591,Very weak or negligible,0.0007348846815462361,0.0003279858098453591,-0.000406898871700877,0.000406898871700877,0.0007348846815462361,False
TRANS_VALUE,RECEIVE_LAT,Continuous numerical,Continuous geographic,TRANS_VALUE,RECEIVE_LAT,Ordinary cross-feature relationship,False,-0.0006134269383442592,Very weak or negligible,0.01289289894656267,Very weak or negligible,0.0006134269383442592,0.01289289894656267,-0.013506325884906929,0.012279472008218412,0.01289289894656267,False
TRANS_VALUE,RECEIVE_LONG,Continuous numerical,Continuous geographic,TRANS_VALUE,RECEIVE_LONG,Ordinary cross-feature relationship,False,-0.000710940990291063,Very weak or negligible,-0.0002114745965178094,Very weak or negligible,0.000710940990291063,0.0002114745965178094,-0.0004994663937732536,0.0004994663937732536,0.000710940990291063,False
TRANS_VALUE,SEND_GENDER_BE,Continuous numerical,Binary encoding,TRANS_VALUE,SEND_GENDER_BE,Ordinary cross-feature relationship,False,0.0007397703470853082,Very weak or negligible,0.036701141423104496,Very weak or negligible,0.0007397703470853082,0.036701141423104496,-0.03596137107601919,0.03596137107601919,0.036701141423104496,False
TRANS_VALUE,TRANS_YEAR_BE,Continuous numerical,Binary encoding,TRANS_VALUE,TRANS_YEAR_BE,Ordinary cross-feature relationship,False,-0.0012655057853230033,Very weak or negligible,0.0006248208655216918,Very weak or negligible,0.0012655057853230033,0.0006248208655216918,-0.001890326650844695,0.0006406849198013116,0.0012655057853230033,False
TRANS_VALUE,TRANS_NUM_CARD_FEWF,Continuous numerical,Frequency encoding with fallback,TRANS_VALUE,TRANS_NUM_CARD_FEWF,Ordinary cross-feature relationship,False,-0.00975071215483343,Very weak or negligible,-0.0246361343564474,Very weak or negligible,0.00975071215483343,0.0246361343564474,0.01488542220161397,0.01488542220161397,0.0246361343564474,False
TRANS_VALUE,SEND_NAME_FEWF,Continuous numerical,Frequency encoding with fallback,TRANS_VALUE,SEND_NAME_FEWF,Ordinary cross-feature relationship,False,-0.009651697320676158,Very weak or negligible,-0.02426228641707639,Very weak or negligible,0.009651697320676158,0.02426228641707639,0.01461058909640023,0.01461058909640023,0.02426228641707639,False
TRANS_VALUE,SEND_JOB_FEWF,Continuous numerical,Frequency encoding with fallback,TRANS_VALUE,SEND_JOB_FEWF,Ordinary cross-feature relationship,False,-0.005594856396324883,Very weak or negligible,-0.013160402910131517,Very weak or negligible,0.005594856396324883,0.013160402910131517,0.007565546513806634,0.007565546513806634,0.013160402910131517,False
TRANS_VALUE,RECEIVE_LOC_FEWF,Continuous numerical,Frequency encoding with fallback,TRANS_VALUE,RECEIVE_LOC_FEWF,Ordinary cross-feature relationship,False,0.010715557255702174,Very weak or negligible,0.24005408352103275,Weak,0.010715557255702174,0.24005408352103275,-0.22933852626533058,0.22933852626533058,0.24005408352103275,False
TRANS_VALUE,TRANS_MONTH_SIN,Continuous numerical,Cyclical sine/cosine,TRANS_VALUE,TRANS_MONTH_SIN,Ordinary cross-feature relationship,False,0.0016122473976579901,Very weak or negligible,0.0015964051285407184,Very weak or negligible,0.0016122473976579901,0.0015964051285407184,1.5842269117271723e-05,1.5842269117271723e-05,0.0016122473976579901,False
TRANS_VALUE,TRANS_MONTH_COS,Continuous numerical,Cyclical sine/cosine,TRANS_VALUE,TRANS_MONTH_COS,Ordinary cross-feature relationship,False,0.0013020323535884275,Very weak or negligible,0.0016016848709565473,Very weak or negligible,0.0013020323535884275,0.0016016848709565473,-0.0002996525173681198,0.0002996525173681198,0.0016016848709565473,False
TRANS_VALUE,TRANS_HOUR_SIN,Continuous numerical,Cyclical sine/cosine,TRANS_VALUE,TRANS_HOUR_SIN,Ordinary cross-feature relationship,False,0.035823252865534026,Very weak or negligible,0.15935512577468738,Weak,0.035823252865534026,0.15935512577468738,-0.12353187290915335,0.12353187290915335,0.15935512577468738,False
TRANS_VALUE,TRANS_HOUR_COS,Continuous numerical,Cyclical sine/cosine,TRANS_VALUE,TRANS_HOUR_COS,Ordinary cross-feature relationship,False,0.015896373268847897,Very weak or negligible,0.00648344033575178,Very weak or negligible,0.015896373268847897,0.00648344033575178,0.009412932933096117,0.009412932933096117,0.015896373268847897,False
TRANS_VALUE,TRANS_WEEK_OHEWI_Friday,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,TRANS_WEEK_OHEWI,Ordinary cross-feature relationship,False,0.0011939015184260539,Very weak or negligible,0.0013671619910081703,Very weak or negligible,0.0011939015184260539,0.0013671619910081703,-0.0001732604725821164,0.0001732604725821164,0.0013671619910081703,False
TRANS_VALUE,TRANS_WEEK_OHEWI_Monday,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,TRANS_WEEK_OHEWI,Ordinary cross-feature relationship,False,-0.001475870418706923,Very weak or negligible,-0.0024609021394677005,Very weak or negligible,0.001475870418706923,0.0024609021394677005,0.0009850317207607774,0.0009850317207607774,0.0024609021394677005,False
TRANS_VALUE,TRANS_WEEK_OHEWI_Saturday,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,TRANS_WEEK_OHEWI,Ordinary cross-feature relationship,False,0.0007867666953901355,Very weak or negligible,0.0009588960740060649,Very weak or negligible,0.0007867666953901355,0.0009588960740060649,-0.00017212937861592944,0.00017212937861592944,0.0009588960740060649,False
TRANS_VALUE,TRANS_WEEK_OHEWI_Sunday,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,TRANS_WEEK_OHEWI,Ordinary cross-feature relationship,False,-0.0017802048170352572,Very weak or negligible,-0.0018377016123321429,Very weak or negligible,0.0017802048170352572,0.0018377016123321429,5.749679529688562e-05,5.749679529688562e-05,0.0018377016123321429,False
TRANS_VALUE,TRANS_WEEK_OHEWI_Thursday,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,TRANS_WEEK_OHEWI,Ordinary cross-feature relationship,False,0.002597646101158383,Very weak or negligible,0.002946589941576676,Very weak or negligible,0.002597646101158383,0.002946589941576676,-0.0003489438404182927,0.0003489438404182927,0.002946589941576676,False
TRANS_VALUE,TRANS_WEEK_OHEWI_Tuesday,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,TRANS_WEEK_OHEWI,Ordinary cross-feature relationship,False,-0.0007410411916512113,Very weak or negligible,-0.0010701124211236533,Very weak or negligible,0.0007410411916512113,0.0010701124211236533,0.00032907122947244203,0.00032907122947244203,0.0010701124211236533,False
TRANS_VALUE,TRANS_WEEK_OHEWI_Wednesday,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,TRANS_WEEK_OHEWI,Ordinary cross-feature relationship,False,0.00022813592250692905,Very weak or negligible,0.0012535284797274087,Very weak or negligible,0.00022813592250692905,0.0012535284797274087,-0.0010253925572204796,0.0010253925572204796,0.0012535284797274087,False
TRANS_VALUE,RECEIVE_CATEGORY_OHEWI_entertainment,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,-0.010386580525559554,Very weak or negligible,0.026229015522299927,Very weak or negligible,0.010386580525559554,0.026229015522299927,-0.03661559604785948,0.015842434996740373,0.026229015522299927,False
TRANS_VALUE,RECEIVE_CATEGORY_OHEWI_food_dining,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,-0.03299590751490328,Very weak or negligible,-0.02736997212690394,Very weak or negligible,0.03299590751490328,0.02736997212690394,-0.005625935387999336,0.005625935387999336,0.03299590751490328,False
TRANS_VALUE,RECEIVE_CATEGORY_OHEWI_gas_transport,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,-0.013900781687291806,Very weak or negligible,0.13187230199204422,Weak,0.013900781687291806,0.13187230199204422,-0.14577308367933603,0.11797152030475241,0.13187230199204422,False
TRANS_VALUE,RECEIVE_CATEGORY_OHEWI_grocery_net,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,-0.01958917114465527,Very weak or negligible,0.028121275218527694,Very weak or negligible,0.01958917114465527,0.028121275218527694,-0.04771044636318296,0.008532104073872424,0.028121275218527694,False
TRANS_VALUE,RECEIVE_CATEGORY_OHEWI_grocery_pos,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,0.09482131489127145,Very weak or negligible,0.33957748673254967,Moderate,0.09482131489127145,0.33957748673254967,-0.24475617184127824,0.24475617184127824,0.33957748673254967,False
TRANS_VALUE,RECEIVE_CATEGORY_OHEWI_health_fitness,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,-0.0267009060998971,Very weak or negligible,-0.0005990672737157249,Very weak or negligible,0.0267009060998971,0.0005990672737157249,-0.026101838826181376,0.026101838826181376,0.0267009060998971,False
TRANS_VALUE,RECEIVE_CATEGORY_OHEWI_home,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,-0.024120633869515747,Very weak or negligible,0.031106457021875034,Very weak or negligible,0.024120633869515747,0.031106457021875034,-0.05522709089139078,0.006985823152359287,0.031106457021875034,False
TRANS_VALUE,RECEIVE_CATEGORY_OHEWI_kids_pets,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,-0.024345641768875114,Very weak or negligible,0.021295717266911617,Very weak or negligible,0.024345641768875114,0.021295717266911617,-0.04564135903578673,0.0030499245019634975,0.024345641768875114,False
TRANS_VALUE,RECEIVE_CATEGORY_OHEWI_misc_net,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,0.014411813248102286,Very weak or negligible,-0.07374050724971334,Very weak or negligible,0.014411813248102286,0.07374050724971334,0.08815232049781563,0.05932869400161106,0.07374050724971334,False
TRANS_VALUE,RECEIVE_CATEGORY_OHEWI_misc_pos,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,-0.011891204579759819,Very weak or negligible,-0.10633987714563559,Weak,0.011891204579759819,0.10633987714563559,0.09444867256587577,0.09444867256587577,0.10633987714563559,False
TRANS_VALUE,RECEIVE_CATEGORY_OHEWI_personal_care,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,-0.03799267314112067,Very weak or negligible,-0.044889105314086145,Very weak or negligible,0.03799267314112067,0.044889105314086145,0.006896432172965476,0.006896432172965476,0.044889105314086145,False
TRANS_VALUE,RECEIVE_CATEGORY_OHEWI_shopping_net,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,0.030224791627903837,Very weak or negligible,-0.12869196846143,Weak,0.030224791627903837,0.12869196846143,0.15891676008933384,0.09846717683352615,0.12869196846143,False
TRANS_VALUE,RECEIVE_CATEGORY_OHEWI_shopping_pos,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,0.017448446467519814,Very weak or negligible,-0.1610471097868614,Weak,0.017448446467519814,0.1610471097868614,0.1784955562543812,0.1435986633193416,0.1610471097868614,False
TRANS_VALUE,RECEIVE_CATEGORY_OHEWI_travel,Continuous numerical,One-Hot encoding with ignore,TRANS_VALUE,RECEIVE_CATEGORY_OHEWI,Ordinary cross-feature relationship,False,0.04706628437740719,Very weak or negligible,-0.15176238473520226,Weak,0.04706628437740719,0.15176238473520226,0.19882866911260944,0.10469610035779507,0.15176238473520226,False
TRANS_DAY,SEND_POP_REGISTER,Discrete numerical,Discrete numerical,TRANS_DAY,SEND_POP_REGISTER,Ordinary cross-feature relationship,False,0.0006536110326462082,Very weak or negligible,0.00013229955532053885,Very weak or negligible,0.0006536110326462082,0.00013229955532053885,0.0005213114773256694,0.0005213114773256694,0.0006536110326462082,False
TRANS_DAY,SEND_LAT_REGISTER,Discrete numerical,Continuous geographic,TRANS_DAY,SEND_LAT_REGISTER,Ordinary cross-feature relationship,False,-0.0007671074565864262,Very weak or negligible,-0.0008605317236990378,Very weak or negligible,0.0007671074565864262,0.0008605317236990378,9.342426711261159e-05,9.342426711261159e-05,0.0008605317236990378,False
