FEATURE,SOURCE_FEATURE,FEATURE_GROUP,MULTIPLE_R_SQUARED,TOLERANCE,VIF,VIF_LEVEL
TRANS_WEEK_OHEWI_Monday,TRANS_WEEK_OHEWI,One-Hot encoding with ignore,0.5404528381353572,0.45954716186464284,2.176055219104029,Low
RECEIVE_CATEGORY_OHEWI_grocery_net,RECEIVE_CATEGORY_OHEWI,One-Hot encoding with ignore,0.5389908812473797,0.4610091187526203,2.1691544902750715,Low
TRANS_WEEK_OHEWI_Sunday,TRANS_WEEK_OHEWI,One-Hot encoding with ignore,0.5276487648643109,0.4723512351356891,2.1170686675832164,Low
RECEIVE_CATEGORY_OHEWI_misc_net,RECEIVE_CATEGORY_OHEWI,One-Hot encoding with ignore,0.49827571891620565,0.5017242810837943,1.993126579084155,Low
RECEIVE_CATEGORY_OHEWI_shopping_net,RECEIVE_CATEGORY_OHEWI,One-Hot encoding with ignore,0.48984814306164515,0.5101518569383549,1.9602006469239155,Low
TRANS_WEEK_OHEWI_Tuesday,TRANS_WEEK_OHEWI,One-Hot encoding with ignore,0.48384839598701834,0.5161516040129817,1.9374152714535575,Low
RECEIVE_CATEGORY_OHEWI_travel,RECEIVE_CATEGORY_OHEWI,One-Hot encoding with ignore,0.48291009119995043,0.5170899088000496,1.9338996622861655,Low
TRANS_WEEK_OHEWI_Saturday,TRANS_WEEK_OHEWI,One-Hot encoding with ignore,0.47676799324274377,0.5232320067572562,1.9111980671777433,Low
RECEIVE_CATEGORY_OHEWI_personal_care,RECEIVE_CATEGORY_OHEWI,One-Hot encoding with ignore,0.45991601766087264,0.5400839823391274,1.851563891358074,Low
RECEIVE_CATEGORY_OHEWI_misc_pos,RECEIVE_CATEGORY_OHEWI,One-Hot encoding with ignore,0.45891666043280743,0.5410833395671926,1.8481441339515101,Low
RECEIVE_CATEGORY_OHEWI_food_dining,RECEIVE_CATEGORY_OHEWI,One-Hot encoding with ignore,0.45593584016956407,0.5440641598304359,1.8380185166243297,Low
RECEIVE_CATEGORY_OHEWI_health_fitness,RECEIVE_CATEGORY_OHEWI,One-Hot encoding with ignore,0.44732657850834234,0.5526734214916577,1.8093868116563563,Low
TRANS_WEEK_OHEWI_Thursday,TRANS_WEEK_OHEWI,One-Hot encoding with ignore,0.42618014069215004,0.57381985930785,1.7427071994444647,Low
TRANS_WEEK_OHEWI_Wednesday,TRANS_WEEK_OHEWI,One-Hot encoding with ignore,0.4015982186877127,0.5984017813122873,1.6711180200817803,Low
SEND_AGE,SEND_AGE,Continuous numerical,0.19585636293952738,0.8041436370604726,1.2435589289190616,Low
SEND_JOB_FEWF,SEND_JOB_FEWF,Frequency encoding with fallback,0.1353945943558761,0.8646054056441239,1.1565969787743904,Low
SEND_GENDER_BE,SEND_GENDER_BE,Binary encoding,0.06830385629336397,0.931696143706636,1.0733113008513975,Low
SEND_POP_REGISTER,SEND_POP_REGISTER,Discrete numerical,0.03657944051199768,0.9634205594880023,1.0379682996711606,Low
TRANS_VALUE,TRANS_VALUE,Continuous numerical,0.017219697505298153,0.9827803024947018,1.0175214109008772,Low
TRANS_YEAR_BE,TRANS_YEAR_BE,Binary encoding,0.015667771792029387,0.9843322282079706,1.0159171581941937,Low
TRANS_MONTH_COS,TRANS_MONTH_COS,Cyclical sine/cosine,0.008408100325794098,0.9915918996742059,1.008479395937539,Low
TRANS_MONTH_SIN,TRANS_MONTH_SIN,Cyclical sine/cosine,0.008157134410835607,0.9918428655891643,1.0082242204827376,Low
TRANS_DAY,TRANS_DAY,Discrete numerical,0.0004062647762780623,0.999593735223722,1.0004064298944282,Low
TRANS_HOUR_COS,TRANS_HOUR_COS,Cyclical sine/cosine,0.0003219328051055969,0.9996780671948944,1.0003220364792127,Low
